source,relation,target,triple_class,confidence,source_tag
Floorplan,precedes_in_flow,Power_Planning,backbone,0.95,gold
Power_Planning,precedes_in_flow,Placement,backbone,0.9,gold
Placement,precedes_in_flow,Clock_Tree_Synthesis,backbone,0.98,gold
Clock_Tree_Synthesis,precedes_in_flow,Routing,backbone,0.98,gold
Routing,precedes_in_flow,RC_Extraction,backbone,0.95,gold
RC_Extraction,precedes_in_flow,Static_Timing_Analysis,backbone,0.95,gold
Static_Timing_Analysis,precedes_in_flow,Physical_Verification,backbone,0.85,gold
Physical_Verification,precedes_in_flow,Signoff,backbone,0.9,gold
CTS,same_as,Clock_Tree_Synthesis,normalization,1.0,gold
STA,same_as,Static_Timing_Analysis,normalization,1.0,gold
PnR,also_called,Place_and_Route,normalization,1.0,gold
WNS,also_called,Worst_Negative_Slack,normalization,1.0,gold
TNS,also_called,Total_Negative_Slack,normalization,1.0,gold
DRC,same_as,Design_Rule_Check,normalization,1.0,gold
LVS,same_as,Layout_Versus_Schematic,normalization,1.0,gold
MaxTran,also_called,Max_Transition,normalization,1.0,gold
Placement,consumes,Gate_Level_Netlist,backbone,0.98,gold
Placement,consumes,SDC,backbone,0.98,gold
Placement,consumes,Technology_LEF,backbone,0.95,gold
Static_Timing_Analysis,consumes,SPEF_or_RCDB,backbone,0.98,gold
Static_Timing_Analysis,produces,Timing_Report,backbone,1.0,gold
Routing,produces,DEF_or_GDS_candidate,backbone,0.9,gold
Physical_Verification,produces,DRC_LVS_Reports,backbone,1.0,gold
Setup_Constraint,enforces,NonNegative_Setup_Slack,backbone,1.0,gold
Hold_Constraint,enforces,NonNegative_Hold_Slack,backbone,1.0,gold
WNS,measures,Setup_Constraint,backbone,0.95,gold
Max_Transition,enforces,Slew_Limit,backbone,0.98,gold
Congestion_Overflow,measures,Routing_Feasibility,backbone,0.9,gold
Design_Rule_Check,detects,DRC_Violation,backbone,1.0,gold
Layout_Versus_Schematic,detects,LVS_Mismatch,backbone,1.0,gold
Antenna_Check,detects,Antenna_Violation,backbone,0.98,gold
IR_Drop_Analysis,detects,Excessive_IR_Drop,backbone,0.95,gold
EM_Analysis,detects,Electromigration_Risk,backbone,0.95,gold
High_Placement_Density,causes,Routing_Congestion,backbone,0.9,gold
Routing_Congestion,causes,Detour_Wirelength,backbone,0.9,gold
Detour_Wirelength,causes,Setup_Violation,backbone,0.85,gold
Clock_Uncertainty_Increase,causes,Setup_Violation,backbone,0.9,gold
Large_Clock_Skew,causes,Hold_Violation,backbone,0.85,gold
Missing_Hold_Buffering,causes,Hold_Violation,backbone,0.9,gold
Long_Antenna_Ratio_Net,causes,Antenna_Violation,backbone,0.95,gold
Weak_Power_Grid,causes,Excessive_IR_Drop,backbone,0.9,gold
High_Via_Resistance,causes,Excessive_IR_Drop,backbone,0.8,gold
Cell_Padding_or_Density_Screen,mitigates,High_Placement_Density,backbone,0.85,gold
Layer_Promotion_or_NDR,mitigates,Routing_Congestion,backbone,0.8,gold
Buffer_Insertion_or_Upsize,mitigates,Setup_Violation,backbone,0.9,gold
Hold_Buffer_Insertion,mitigates,Hold_Violation,backbone,0.95,gold
Antenna_Diode_or_Layer_Hop,mitigates,Antenna_Violation,backbone,0.95,gold
Widen_Straps_or_Add_Vias,mitigates,Excessive_IR_Drop,backbone,0.9,gold
Setup_Violation,when,Late_Data_or_Early_Clock,auxiliary,0.95,gold
Hold_Violation,when,Early_Data_or_Late_Clock,auxiliary,0.95,gold
Buffer_Insertion_or_Upsize,qualified_by,Setup_Violation,linking,0.9,gold
Static_Timing_Analysis,typically_after,RC_Extraction,auxiliary,0.95,gold
Hold_Fix,typically_after,Clock_Tree_Synthesis,auxiliary,0.85,gold
StdCell,is_a,PhysicalObject,backbone,1.0,gold
Macro,is_a,PhysicalObject,backbone,1.0,gold
Via,part_of,Interconnect_Stack,backbone,0.95,gold
Power_Strap,part_of,Power_Grid,backbone,0.95,gold
Implementation_Tool,detects,Routing_Congestion,backbone,0.9,gold
STA_Tool,detects,Setup_Violation,backbone,1.0,gold
STA_Tool,detects,Hold_Violation,backbone,1.0,gold
Extraction_Tool,produces,SPEF_or_RCDB,backbone,0.98,gold
Physical_Verification_Tool,detects,DRC_Violation,backbone,1.0,gold
Floorplan,typically_before,Placement,auxiliary,0.65,auto:pd_flow_overview
RC_Extraction,typically_after,Routing,auxiliary,0.65,auto:pd_flow_overview
Physical_Verification,typically_before,Signoff,auxiliary,0.65,auto:pd_flow_overview
Routing_Congestion,when,Detour_Wirelength,auxiliary,0.6,auto:timing_causality
Routing_Congestion,qualified_by,Detour_Wirelength,linking,0.6,auto:timing_causality
Hold_Buffer_Insertion,typically_after,Buffer_Insertion_or_Upsize,auxiliary,0.65,auto:timing_causality
Design_Rule_Check,detects,Clock_Tree_Synthesis,backbone,0.8,auto:signoff_checks
Layout_Versus_Schematic,detects,Clock_Tree_Synthesis,backbone,0.8,auto:signoff_checks
Antenna_Violation,detects,Clock_Tree_Synthesis,backbone,0.8,auto:signoff_checks
Antenna_Violation,mitigates,Antenna_Diode_or_Layer_Hop,backbone,0.8,auto:signoff_checks
Power_Grid,detects,Excessive_IR_Drop,backbone,0.8,auto:signoff_checks
